Variable,Completer_N,Completer_Mean,Completer_SD,Dropout_N,Dropout_Mean,Dropout_SD,Cohens_d,p_value,Type
X1RTHETK,9104,-1.134,0.781,6565,-1.346,0.804,0.268,0.0,continuous
X2RTHETK,9104,-0.199,0.6,8082,-0.375,0.725,0.266,0.0,continuous
X1MTHETK,9104,-1.04,0.674,6491,-1.255,0.723,0.31,0.0,continuous
X2MTHETK,9104,-0.303,0.582,8039,-0.463,0.654,0.259,0.0,continuous
X6DCCSSCR,9104,6.785,1.264,4670,6.501,1.497,0.211,0.0,continuous
X1TCHAPP,9104,3.012,0.657,5666,2.834,0.707,0.263,0.0,continuous
X2TCHAPP,9104,3.169,0.659,6874,3.001,0.72,0.245,0.0,continuous
X4TCHAPP,9104,3.106,0.689,4345,3.036,0.72,0.1,0.0,continuous
X_CHSEX_R,9104,,,9031,,,0.008,0.2691,categorical
X_RACETH_R,9104,,,9027,,,0.182,0.0,categorical
X1SESQ5,9104,,,6984,,,0.082,0.0,categorical
X12LANGST,9104,,,6941,,,0.059,0.0,categorical
