Metric,Group,Complete_Case,MICE_Pooled,MICE_SE,Difference
AUC-ROC,Overall,0.8477,0.8641,0.0062,0.0164
TPR,Asian,0.75,0.5752,0.0885,-0.1748
FPR,Asian,0.0,0.1476,0.0593,0.1476
PPV,Asian,1.0,0.7141,0.0956,-0.2859
TPR,Black,0.293,0.5296,0.0336,0.2366
FPR,Black,0.102,0.1165,0.0127,0.0145
PPV,Black,0.489,0.7327,0.0238,0.2437
TPR,Hispanic,0.41,0.5515,0.02,0.1415
FPR,Hispanic,0.073,0.1094,0.0151,0.0364
PPV,Hispanic,0.701,0.7292,0.027,0.0282
TPR,Other,0.259,0.4312,0.0488,0.1722
FPR,Other,0.01,0.0451,0.0079,0.0351
PPV,Other,0.778,0.6761,0.0541,-0.1019
TPR,White,0.172,0.3741,0.0325,0.2021
FPR,White,0.012,0.0333,0.0042,0.0213
PPV,White,0.667,0.7146,0.0211,0.0476
