outcome,Group,N,TPR,TPR_CI_lower,TPR_CI_upper,FPR,FPR_CI_lower,FPR_CI_upper,PPV,PPV_CI_lower,PPV_CI_upper
reading,White,1462,0.17048878027547767,0.12208556946929039,0.21875462278106508,0.011850050129074785,0.00697593669250646,0.018048385059947412,0.6602793956060242,0.5,0.775
reading,Other,225,0.2575019381684548,0.07407407407407407,0.4451754385964914,0.011099625367681413,0.0,0.025654450261780107,0.7575018878180643,0.42785714285714294,1.0
reading,Hispanic,623,0.40946924953768005,0.34317516722408026,0.47908244284910845,0.07178632383690908,0.052752293577981654,0.0954819749216301,0.7037735659420085,0.6185473289597001,0.7648542903399892
reading,Black,300,0.29597377562972543,0.20728120516499282,0.3881683355375024,0.1027527291298162,0.06295045045045046,0.14163090128755365,0.48710582711317285,0.3254418604651163,0.6320056899004268
reading,Asian,8,0.7597342472342471,0.25,1.0,0.0,0.0,0.0,1.0,1.0,1.0
math,White,1475,0.2585869386056394,0.19606625448159803,0.3274242766726944,0.02433390997897287,0.015967467772645433,0.031637958766924025,0.5779804164011686,0.4784145663454411,0.6774838709677419
math,Black,288,0.3264647775551962,0.24243995912110378,0.4286009445100354,0.16133248403671707,0.11290115798180314,0.20978230468021633,0.5261922725400193,0.3934279859484777,0.640859375
math,Other,225,0.06102787559578513,0.0,0.2,0.02445730510649634,0.004900770988006853,0.04226353380949203,0.1609532148476872,0.0,0.5035714285714273
math,Hispanic,622,0.5295388308584406,0.45852417869660783,0.6099285714285715,0.09280892393642746,0.06864596721105921,0.11794062091089444,0.6949233208205198,0.624951923076923,0.7642962184873949
math,Asian,12,1.0,1.0,1.0,0.11339285714285713,0.0,0.3333333333333333,0.7550986050986049,0.3333333333333333,1.0
