feature,importance_mean,importance_std,ci_lower,ci_upper
X2MTHETK,0.043816040447425514,0.006142056779451499,0.03177760915970058,0.05585447173515045
X2RTHETK,0.021623785020011315,0.0037981571423264505,0.014179397021051473,0.029068173018971157
X4TCHAPP,0.015595191057685179,0.002911950567698793,0.009887767944995546,0.021302614170374812
X1SESQ5,0.013018573524786019,0.0034647180551205855,0.006227726136749672,0.019809420912822367
X1MTHETK,0.011512889285553688,0.0032019274817321817,0.005237111421358612,0.017788667149748763
X6DCCSSCR,0.0012745649469072158,0.00058252829460525,0.00013280948948092564,0.002416320404333506
X1RTHETK,0.0,0.0,0.0,0.0
X1TCHAPP,0.0,0.0,0.0,0.0
X2TCHAPP,0.0,0.0,0.0,0.0
X_CHSEX_R,0.0,0.0,0.0,0.0
X_RACETH_R,0.0,0.0,0.0,0.0
X12LANGST,0.0,0.0,0.0,0.0
