feature,importance_mean,importance_std,ci_2.5,ci_97.5
X2MTHETK,0.0461242298146022,0.003603172724591891,0.041700406463341326,0.054333668019678975
X2RTHETK,0.023131747554442444,0.0026142056246652645,0.01802454085817689,0.027472226369346577
X4TCHAPP,0.016157974236991418,0.003017454026571535,0.01200525468351165,0.022116874955281363
X1SESQ5,0.012909072285644654,0.0032398060247904514,0.007075095039712161,0.01897266256398378
X1MTHETK,0.012055991715715635,0.002289449006186588,0.007421050656437213,0.01651861566466622
X6DCCSSCR,0.00131536035786197,0.0009444329587632977,-0.0007687106953088734,0.002977336154097166
X1RTHETK,-4.440892098500626e-18,4.418631847554175e-17,-1.1102230246251565e-16,8.604228440844947e-17
X1TCHAPP,-4.440892098500626e-18,4.418631847554175e-17,-1.1102230246251565e-16,8.604228440844947e-17
X2TCHAPP,-4.440892098500626e-18,4.418631847554175e-17,-1.1102230246251565e-16,8.604228440844947e-17
X_CHSEX_R,-4.440892098500626e-18,4.418631847554175e-17,-1.1102230246251565e-16,8.604228440844947e-17
X_RACETH_R,-4.440892098500626e-18,4.418631847554175e-17,-1.1102230246251565e-16,8.604228440844947e-17
X12LANGST,-4.440892098500626e-18,4.418631847554175e-17,-1.1102230246251565e-16,8.604228440844947e-17
