percentile,Group,N,TPR,TPR_CI_lower,TPR_CI_upper,FPR,FPR_CI_lower,FPR_CI_upper,PPV,PPV_CI_lower,PPV_CI_upper
10,White,1505,0.050295398973308474,0.0,0.10608766233766234,0.0021506304513499884,0.0,0.004830917874396135,0.4898496225996226,0.0,1.0
10,Hispanic,574,0.2610614787897784,0.17068876674682243,0.35297181372549025,0.012314399654886357,0.001976284584980237,0.02178652595798502,0.7338135994589067,0.5624375,0.9474937343358396
10,Other,223,0.0,0.0,0.0,0.0,0.0,0.0,,,
10,Black,302,0.22162182473194375,0.10808397683397684,0.34326007326007335,0.003110295289557157,0.0,0.0113229069517182,0.9058108558108557,0.7139285714285715,1.0
10,Asian,11,0.0,0.0,0.0,0.0,0.0,0.0,,,
20,White,1420,0.16394917850386143,0.09844208211143696,0.22534680698397516,0.008514581610632264,0.0031173903361202153,0.012924953746530991,0.6514230362306137,0.49956896551724145,0.8336538461538463
20,Hispanic,653,0.40681337300994114,0.3244789637709388,0.4839220808723308,0.0485189213382922,0.030472621708288797,0.06783372093023256,0.7040924538842046,0.6122019334049409,0.8
20,Black,308,0.2955861133492787,0.18647761194029855,0.4168133802816902,0.11848449058005993,0.07687224669603525,0.1638993423456339,0.4198133221860861,0.2690476190476191,0.5683389748549323
20,Other,217,0.06328327999661457,0.0,0.22243589743589748,0.0,0.0,0.0,1.0,1.0,1.0
20,Asian,12,0.5208193041526374,0.0,1.0,0.2545422077922078,0.0,0.625,0.5128716461203772,0.0,1.0
25,White,1462,0.15984629476867793,0.11282789790854308,0.20608150470219436,0.011135422194312508,0.00619171120819596,0.01738921019637546,0.6600442657797808,0.49975490196078437,0.7941365007541478
25,Other,225,0.2575019381684548,0.07407407407407407,0.4451754385964914,0.005309070470599174,0.0,0.015236316772310042,0.8707068992688266,0.5714285714285714,1.0
25,Hispanic,623,0.39337361357879025,0.3263100686498856,0.4587304635565929,0.06307711179687576,0.04357798165137615,0.08717796715472075,0.7219900003724393,0.6372304582210242,0.7981333958138083
25,Black,300,0.29597377562972543,0.20728120516499282,0.3881683355375024,0.09458085413131104,0.052370772824210425,0.13277975711604031,0.5082458515348306,0.34126016260162606,0.6666666666666666
25,Asian,8,0.7597342472342471,0.25,1.0,0.0,0.0,0.0,1.0,1.0,1.0
30,Black,310,0.44224820356404165,0.3505025773195876,0.5428995756718529,0.1776806863127797,0.1335922220973362,0.2286441798941799,0.5433436722854132,0.4459084084084084,0.6470588235294118
30,Hispanic,624,0.49937345961916335,0.43279474188689576,0.5654869246632442,0.13219043910263023,0.1007498757112081,0.163320861802199,0.6805229488983935,0.6233445333736032,0.7449568965517243
30,White,1431,0.25786868643665545,0.200933014354067,0.31680225281602004,0.028960643375196424,0.01930828167049367,0.03725913974861468,0.6196307040485886,0.5364859490986215,0.721279761904762
30,Other,223,0.10877537213511428,0.0,0.22611367127496165,0.03760220683538163,0.010415317357512954,0.06667525773195876,0.2871659708110947,0.0,0.6260416666666669
30,Asian,8,0.661026936026936,0.0,1.0,0.18505357142857143,0.0,0.5,0.6938827838827838,0.0,1.0
