feature,mean_abs_shap,mean_shap,std_shap
X2MTHETK,0.5024501474380094,0.2707356445837636,0.47812170120543424
X1SESQ5,0.4268050615120844,0.4268050615120844,0.07183333658171759
X1MTHETK,0.41075953895326506,0.33559514474244995,0.3437896035369708
X4TCHAPP,0.34083946538597637,0.186834336389324,0.3287498212337119
X2RTHETK,0.2897508481127271,0.15671615013495738,0.28803412189200583
X6DCCSSCR,0.07764141438768096,0.039811042892869096,0.1471159647822999
X1RTHETK,0.04515103645555944,0.03465218876301824,0.03796929742656941
X_CHSEX_R,0.0033085758554691935,0.0016542879277345968,0.002865310741184153
X2TCHAPP,0.0,0.0,0.0
X1TCHAPP,0.0,0.0,0.0
X_RACETH_R,0.0,0.0,0.0
X12LANGST,0.0,0.0,0.0
