feature,mean_abs_shap,mean_shap,std_shap
X2MTHETK,0.4755498246303249,0.3747947009638714,0.4968715814823299
X2RTHETK,0.27226555629391913,0.14822039674286422,0.3457212036700297
X1SESQ5,0.2493594528669206,0.12551418889811242,0.26194914027858235
X1MTHETK,0.24355498022315117,0.17278898766882225,0.2590527509648775
X4TCHAPP,0.23587094129506625,0.09039920393807535,0.26580742362081317
X6DCCSSCR,0.09675778741640605,0.05498775296463472,0.1270915042101759
X1RTHETK,0.0,0.0,0.0
X1TCHAPP,0.0,0.0,0.0
X2TCHAPP,0.0,0.0,0.0
X_CHSEX_R,0.0,0.0,0.0
X_RACETH_R,0.0,0.0,0.0
X12LANGST,0.0,0.0,0.0
