feature,mean_abs_shap,mean_shap,std_shap
X2MTHETK,0.46921098335981476,0.34109111667866954,0.48999131479523117
X2RTHETK,0.31654708948798793,0.21530411400314314,0.39227892422761645
X1SESQ5,0.30965980712584273,0.19840136281775655,0.2855260274497167
X1MTHETK,0.2726263932453368,0.19708609553008063,0.2885677560140044
X4TCHAPP,0.2221425688385167,0.028935548630650287,0.265431650003017
X6DCCSSCR,0.07579934222618472,0.022261075884755933,0.11081352343908363
X1RTHETK,0.03681068944369852,0.023600191980233012,0.03826345931400849
X_CHSEX_R,0.003308575855469179,0.00020711791069550324,0.0033020866679211907
X2TCHAPP,0.0,0.0,0.0
X1TCHAPP,0.0,0.0,0.0
X_RACETH_R,0.0,0.0,0.0
X12LANGST,0.0,0.0,0.0
