feature,mean_abs_shap,mean_shap,std_shap
X2MTHETK,0.4054557228688408,0.03422770632429551,0.5202575450287398
X2RTHETK,0.29272939967960426,-0.00017181224370798917,0.3722848691139152
X1SESQ5,0.2588166941329804,-0.06873396058706156,0.2902677750907808
X1MTHETK,0.23165677819064923,-0.014386903322082503,0.29963656077072837
X4TCHAPP,0.20917043368017074,-0.049745461636186775,0.2405558496873679
X6DCCSSCR,0.06734896612205292,-0.0009298319445729988,0.09615892847907752
X1RTHETK,0.0,0.0,0.0
X1TCHAPP,0.0,0.0,0.0
X2TCHAPP,0.0,0.0,0.0
X_CHSEX_R,0.0,0.0,0.0
X_RACETH_R,0.0,0.0,0.0
X12LANGST,0.0,0.0,0.0
