scenario,scenario_label,Group,N,ECE,MCE,Brier,ECE_ratio
k_only,K Fall Only,Hispanic,629,0.026620172661358684,0.08903920617944816,0.1674376615643984,1.7258059143209645
k_only,K Fall Only,Other,213,0.02105768893568879,0.3012177443881323,0.08431992457232594,1.3651858900184908
k_only,K Fall Only,Black,301,0.09808852723266465,0.5791455237628815,0.1949266637363244,6.359153360071616
k_only,K Fall Only,White,1458,0.015424777746130656,0.33659782046244846,0.0877605959851186,1.0
k_complete,K Fall + Spring,Hispanic,629,0.03935527214945575,0.12425253786752721,0.15847344105326105,2.4733380558531373
k_complete,K Fall + Spring,Other,213,0.0345671571482941,0.7149212253108317,0.08381122112621808,2.1724221581507717
k_complete,K Fall + Spring,Black,301,0.0772475121450836,0.26221554421272353,0.18171209182211562,4.854729775031041
k_complete,K Fall + Spring,White,1458,0.015911804719262606,0.24644527447430864,0.0833664304999952,1.0
k_through_1st,K + 1st Grade,Hispanic,629,0.0441020067958951,0.09093955268715698,0.156382517961015,2.573193091946853
k_through_1st,K + 1st Grade,Other,213,0.03501954592849592,0.741937390061294,0.08781836296522426,2.043264246077542
k_through_1st,K + 1st Grade,Black,301,0.09924086478806629,0.2197948382968897,0.18341803495993983,5.790346659128733
k_through_1st,K + 1st Grade,White,1458,0.01713901958384629,0.18062678862594023,0.08191207343472093,1.0
k_through_3rd,K through 3rd,Hispanic,629,0.04117620484071299,0.11904938095445342,0.15590451614514797,2.705791877484352
k_through_3rd,K through 3rd,Other,213,0.033205670223918314,0.7421213884757588,0.08588252757356361,2.1820280214233168
k_through_3rd,K through 3rd,Black,301,0.10040700791718815,0.22395174515096547,0.18426006947683354,6.597996768177394
k_through_3rd,K through 3rd,White,1458,0.015217801924586908,0.14156136863470514,0.08155026748465387,1.0
